Na,Ca,P,Si,Tg,P3,P2,P1,P0,Si6,Si5,Si4,Si3,Si2,Si1,Si0
24.36,26.93,2.57,46.14,700,0,0,3.468096724,6.555304212,0,0,1.515958557,22.56103029,47.17306333,18.36985075,0.356696131
24.42,26.93,5.43,43.22,700,0,0,7.711242604,12.37011834,0,0,3.516420118,27.25225592,37.96135355,10.78901627,0.399593195
24.36,27.17,12.17,36.3,700,0,1.244294195,22.91909631,15.97513193,0,0.359168865,6.524901055,32.86395119,19.33525726,0.778199208,0
24.3,26.9,2.6,46.2,700,0,0,2.701167315,7.415564202,0,0,0,10.96575875,48.98638132,29.9311284,0
24.3902439,26.82926829,2.43902439,46.34146341,700,0,0,0.571428571,8.952380952,0,0,0,16.28571429,60.61904762,13.57142857,0
24.3902439,26.82926829,4.87804878,43.90243902,700,0,0.545454545,1.272727273,16.36363636,0,0,0,9,72.81818182,0,0
24.3902439,26.82926829,6.341463415,42.43902439,700,0,0,4.601769912,18.40707965,0,0,0,25.40707965,40.80530973,10.77876106,0
21.95571956,21.40221402,1.045510455,55.59655597,700,0,0,0.326226013,3.298507463,0,0,3.855010661,46.26012793,44.3326226,1.92750533,0
21.07208872,21.93468885,2.156500308,54.83672212,700,0,0,0.802083333,6.489583333,0,0,0.927083333,50.98958333,38.9375,1.854166667,0
21.54420922,20.2988792,2.98879203,55.16811955,700,0,0,1.564154786,8.211812627,0,0,9.022403259,40.60081466,38.79633401,1.804480652,0
20.59925094,22.09737828,4.244694132,53.05867665,700,0,0,2.344827586,11.44827586,0,0,5.172413793,59.48275862,18.96551724,2.586206897,0
30.29508197,23.08196721,0.852459016,45.7704918,700,0,0,0.107734807,3.483425414,0,0,0,10.60497238,72.30662983,8.67679558,4.820441989
25.17482517,26.19198983,1.970756516,46.66242848,700,0,0,0.311557789,7.477386935,0,0,0.922110553,14.75376884,71.00251256,5.532663317,0
25.22464698,25.54557125,3.145057766,46.08472401,700,0,0,0.600490196,11.40931373,0,0,0.879901961,23.75735294,57.19362745,6.159313725,0
23.51804124,26.03092784,5.347938144,45.10309278,700,0,0,1.533487298,17.63510393,0,0,2.424942263,41.22401848,33.94919169,3.233256351,0
24.41099476,24.7382199,6.479057592,44.37172775,700,0,0,1.130136986,21.47260274,0,0,1.547945205,52.63013699,21.67123288,1.547945205,0
36.84573003,22.31404959,0.895316804,39.94490358,700,0,0,0.815181518,3.475247525,0,0,0,0.95709571,47.85478548,44.98349835,1.914191419
32.08053691,22.68456376,2.147651007,43.08724832,700,0,0,1.178470255,7.886685552,0,0,0,1.818696884,52.74220963,33.64589235,2.728045326
33.17438692,23.02452316,3.065395095,40.73569482,700,0,0,0.784883721,12.29651163,0,0,0,6.953488372,48.6744186,29.55232558,1.738372093
32.46753247,22.00956938,4.237867396,41.28503076,700,0,0,1.192307692,15.84065934,0,0,0,9.126373626,49.78021978,24.06043956,0
24.3,26.9,2.6,46.2,700,0,0,2.701167315,7.415564202,0,0,0,29.9311284,48.98638132,10.96575875,0
24.3694956,26.92153723,2.572057646,46.13690953,700,0,0.200624512,3.31030445,6.520296643,0,0,1.799375488,21.59250585,47.68345043,17.99375488,0.899687744
19.4,21.47,2.63,56.5,700,0,0.596178756,5.024935233,2.895725389,0,0,11.89281088,48.48607513,28.35977979,2.744494819,0
14.47289458,15.98319664,2.630526105,66.91338268,700,0,2.551274945,4.082039911,0.656042129,0,0.92710643,29.66740576,53.77217295,8.343957871,0,0
22.9,25.5,3,48.6,700,0,0,0.450549451,10.53846154,0,0,0,18.69230769,64.44395604,5.874725275,0
20.72072072,31.53153153,6.506506507,41.24124124,700,0,0,1.079335793,22.90590406,0,0,0,21.7402214,50.01771218,4.256826568,0
18.1,25,1,55.9,700,0,0,0.348877375,3.105354059,0,0,1.544732297,49.43143351,43.9283247,1.641278066,0
19.1,25.8,2.4,52.7,700,0,0,0.868173913,7.479652174,0,0,1.833043478,51.60017391,37.11913043,1.099826087,0
19.3,25.4,4.4,50.9,700,0,0,1.017085427,13.72328308,0,0,1.70519263,50.98525963,31.71658291,0.852596315,0
20.1,27.4,6.5,46,700,0,0,2.159322034,19.87457627,0,0,1.247457627,42.95932203,32.97966102,0.779661017,0
19.4,21.4,3.2,56,700,0,0,1.661538462,8.594871795,0,0,6.730769231,60.75641026,21.71794872,0.538461538,0
15.1,20.6,2,62.3,700,0,0,1.236802413,4.79638009,0,0,9.490648567,74.32775264,10.14841629,0,0
16.1,22.6,3,58.3,700,0,0,1.735614308,7.595645412,0,0,6.981493002,70.63094868,13.0562986,0,0
16.2,22.6,4,57.2,700,0,0,2.392638037,9.877300613,0,0,7.983435583,69.39447853,10.35214724,0,0
17.2,24.4,6,52.4,700,0,0,3.335403727,15.29813665,0,0,8.218012422,63.30310559,9.845341615,0,0
