Na,P,Si,Tg,P3,P2,P1,P0,Si6,Si5,Si4,Si3,Si2,Si1,Si0
8.205032137,72,18,700,78.95729614,9.931592752,0,0,11.11111111,0,0,0,0,0,0
13.77620708,68,17,700,71.13636811,17.75252078,0,0,11.11111111,0,0,0,0,0,0
19.74474232,64,16,700,61.55285732,27.33603157,0,0,11.11111111,0,0,0,0,0,0
27.78657159,57.6,14.4,700,46.13511149,42.7537774,0,0,10.56635831,0.544752802,0,0,0,0,0
34.27604542,52,13,700,30.94274861,57.94614028,0,0,6.544351682,4.566759429,0,0,0,0,0
39.35917363,48,12,700,16.77177281,72.11711608,0,0,1.40068165,9.710429461,0,0,0,0,0
20.58287609,60.2,9.8,700,64.60491588,27.8682024,0,0,7.52688172,0,0,0,0,0,0
18.96754069,49.7,20.3,700,55.66393354,27.37700214,0,0,8.529825949,0,8.429238379,0,0,0,0
24.68204924,39.9,30.1,700,30.86563861,41.74582636,0,0,5.325826039,0,22.06270899,0,0,0,0
30.58377673,32.2,37.8,700,2.659529826,60.3541688,0,0,0,0,36.98630137,0,0,0,0
36.67803215,50.2,9.8,700,28.03294709,63.07413095,0,0,4.588747731,0,4.304174229,0,0,0,0
33.35238421,45.7,17.8,700,25.49958476,58.20004894,0,0,2.885164835,0,13.41520147,0,0,0,0
5.075254097,58.3,21.3,700,78.38158086,6.1724438,0,0,12.75837563,0.46337926,2.22422045,0,0,0,0
19.2628542,69.6,10.4,700,67.53077459,25.51735376,0,0,6.951871658,0,0,0,0,0,0
19.5373397,62.9,17.1,700,60.84674598,27.18684395,0,0,11.25553423,0,0.710875846,0,0,0,0
19.55528195,58.7,21.3,700,56.6010446,28.04207004,0,0,11.11189266,0,4.244992702,0,0,0,0
19.62981003,49.6,30.4,700,46.38982417,30.15338571,0,0,9.228901032,0,14.22788909,0,0,0,0
19.98918773,40.6,39.4,700,34.1849312,33.14508538,0,0,6.408342901,0,26.26164052,0,0,0,0
