Na,Li,K,Si,P,B,Al,Si4,Si3,Si2,Si1,Si0,P3,P2,P1,P0,B4,Al4,Al6
20,0,0,80,0,0,0,50,48,2,0,0,0,0,0,0,0,0,0
28.6,0,0,71.4,0,0,0,27,68,5,0,0,0,0,0,0,0,0,0
33.3,0,0,66.7,0,0,0,11,79,10,0,0,0,0,0,0,0,0,0
36.4,0,0,63.6,0,0,0,7,76,17,0,0,0,0,0,0,0,0,0
40,0,0,60,0,0,0,2,67,29,2,0,0,0,0,0,0,0,0
44.4,0,0,55.6,0,0,0,0,47,50,3,0,0,0,0,0,0,0,0
50,0,0,50,0,0,0,0,16,70,13,1,0,0,0,0,0,0,0
55.6,0,0,44.4,0,0,0,0,3,54,39,4,0,0,0,0,0,0,0
40.30305617,0,0,59.69694383,0,0,0,0,60.41,39.59,6.73,0,0,0,0,0,0,0,0
48.71399223,0,0,51.28600777,0,0,0,0,21.13,68.79,10.07,0,0,0,0,0,0,0,0
15.33,0,0,0,0,84.67,0,0,0,0,0,0,0,0,0,0,15.8,0,0
19.22,0,0,0,0,80.78,0,0,0,0,0,0,0,0,0,0,21.92,0,0
22.41,0,0,0,0,77.59,0,0,0,0,0,0,0,0,0,0,27.03,0,0
27.52,0,0,0,0,72.48,0,0,0,0,0,0,0,0,0,0,33.44,0,0
29.7,0,0,0,0,70.3,0,0,0,0,0,0,0,0,0,0,37.33,0,0
34.04,0,0,0,0,65.96,0,0,0,0,0,0,0,0,0,0,42.37,0,0
37.61,0,0,0,0,62.39,0,0,0,0,0,0,0,0,0,0,44.25,0,0
67,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,13,0,0
42.8,0,0,0,57.2,0,0,0,0,0,0,0,20,80,0,0,0,0,0
43.8,0,0,0,56.2,0,0,0,0,0,0,0,18,82,0,0,0,0,0
45.3,0,0,0,54.7,0,0,0,0,0,0,0,13,87,0,0,0,0,0
47.2,0,0,0,52.8,0,0,0,0,0,0,0,7,93,0,0,0,0,0
54.1,0,0,0,45.9,0,0,0,0,0,0,0,0,78,22,0,0,0,0
57,0,0,0,43,0,0,0,0,0,0,0,0,78,22,0,0,0,0
5,0,0,0,95,0,0,0,0,0,0,0,96,4,0,0,0,0,0
7.5,0,0,0,92.5,0,0,0,0,0,0,0,94,6,0,0,0,0,0
10,0,0,0,90,0,0,0,0,0,0,0,89,11,0,0,0,0,0
20,0,0,0,80,0,0,0,0,0,0,0,77,23,0,0,0,0,0
25,0,0,0,75,0,0,0,0,0,0,0,68,32,0,0,0,0,0
30,0,0,0,70,0,0,0,0,0,0,0,58,42,0,0,0,0,0
35,0,0,0,65,0,0,0,0,0,0,0,43,57,0,0,0,0,0
50,0,0,0,50,0,0,0,0,0,0,0,0,100,0,0,0,0,0
0,10,0,0,90,0,0,0,0,0,0,0,89,11,0,0,0,0,0
0,18,0,0,82,0,0,0,0,0,0,0,78,22,0,0,0,0,0
0,32,0,0,68,0,0,0,0,0,0,0,52,48,0,0,0,0,0
0,40,0,0,60,0,0,0,0,0,0,0,34,66,0,0,0,0,0
0,50,0,0,50,0,0,0,0,0,0,0,0,99,1,0,0,0,0
0,51,0,0,49,0,0,0,0,0,0,0,0,98,2,0,0,0,0
0,15,0,0,85,0,0,0,0,0,0,0,90,10,0,0,0,0,0
0,55,0,0,45,0,0,0,0,0,0,0,0,77,23,0,0,0,0
0,0,20,80,0,0,0,49,51,0,0,0,0,0,0,0,0,0,0
0,0,27.3,72.7,0,0,0,25,72,3,0,0,0,0,0,0,0,0,0
0,0,28.6,71.4,0,0,0,22,74,4,0,0,0,0,0,0,0,0,0
0,0,36.4,63.6,0,0,0,5,81,14,0,0,0,0,0,0,0,0,0
0,0,40,60,0,0,0,0,67,32,1,0,0,0,0,0,0,0,0
0,0,42.9,57.1,0,0,0,0,51,48,1,0,0,0,0,0,0,0,0
0,0,44.4,55.6,0,0,0,0,41,57,2,0,0,0,0,0,0,0,0
0,0,50,50,0,0,0,0,9,84,7,0,0,0,0,0,0,0,0
