Na,Li,K,Cs,Ca,Mg,Si,P,B,Al,Si6SM,Si5SM,Si4SM,Si3SM,Si2SM,Si1SM,Si0SM,P3SM,P2SM,P1SM,P0SM,B4SM,Al4SM,Al6SM,Si6,Si5,Si4,Si3,Si2,Si1,Si0,P3,P2,P1,P0,B4,Al4,Al6
20,0,0,0,0,0,80,0,0,0,0,0,51.21066372,47.58069588,1.206617853,0.002021798,7.56E-07,0,0,0,0,0,0,0,0,0,50,48,2,0,0,0,0,0,0,0,0,0
25,0,0,0,0,0,75,0,0,0,0,0,35.58582397,61.83525856,2.572015075,0.006898289,4.11E-06,0,0,0,0,0,0,0,0,0,38,61,1,0,0,0,0,0,0,0,0,0
28.6,0,0,0,0,0,71.4,0,0,0,0,0,24.3287042,71.35884981,4.296201265,0.01623123,1.35E-05,0,0,0,0,0,0,0,0,0,27,68,5,0,0,0,0,0,0,0,0,0
33.3,0,0,0,0,0,66.7,0,0,0,0,0,9.371733551,81.31857025,9.247747876,0.061859286,8.90E-05,0,0,0,0,0,0,0,0,0,11,79,10,0,0,0,0,0,0,0,0,0
36.4,0,0,0,0,0,63.6,0,0,0,0,0,2.549765201,81.07813276,16.19484385,0.176853233,0.000404963,0,0,0,0,0,0,0,0,0,7,76,17,0,0,0,0,0,0,0,0,0
40,0,0,0,0,0,60,0,0,0,0,0,0.088999321,67.54620211,31.64387335,0.717649694,0.003275528,0,0,0,0,0,0,0,0,0,2,67,29,2,0,0,0,0,0,0,0,0
42.9,0,0,0,0,0,57.1,0,0,0,0,0,0.001199861,51.83506656,46.34009368,1.809813514,0.013826383,0,0,0,0,0,0,0,0,0,2,54,41,3,0,0,0,0,0,0,0,0
44.4,0,0,0,0,0,55.6,0,0,0,0,0,5.07E-05,42.86268296,54.3024172,2.8069138,0.027935311,0,0,0,0,0,0,0,0,0,0,47,50,3,0,0,0,0,0,0,0,0
50,0,0,0,0,0,50,0,0,0,0,0,1.22E-15,12.190038,75.93118324,11.56751952,0.311259237,0,0,0,0,0,0,0,0,0,0,16,70,13,1,0,0,0,0,0,0,0
55.6,0,0,0,0,0,44.4,0,0,0,0,0,0,0.093736956,54.34248149,41.03382615,4.529955405,0,0,0,0,0,0,0,0,0,0,3,54,39,4,0,0,0,0,0,0,0
33.16498208,0,0,0,0,0,66.83501792,0,0,0,0,0,10.009085,81.0396404,8.89354472,0.057649353,8.05E-05,0,0,0,0,0,0,0,0,0,9.54,80.98,9.48,0,0,0,0,0,0,0,0,0
40.30305617,0,0,0,0,0,59.69694383,0,0,0,0,0,0.056846468,65.70719461,33.41903675,0.812956815,0.003965363,0,0,0,0,0,0,0,0,0,0,60.41,39.59,6.73,0,0,0,0,0,0,0,0
48.71399223,0,0,0,0,0,51.28600777,0,0,0,0,0,1.35E-11,18.70703935,72.76019212,8.358497699,0.174270826,0,0,0,0,0,0,0,0,0,0,21.13,68.79,10.07,0,0,0,0,0,0,0,0
9.94,0,0,0,0,0,0,0,90.06,0,0,0,0,0,0,0,0,0,0,0,0,10.72779641,0,0,0,0,0,0,0,0,0,0,0,0,0,11.71,0,0
15.33,0,0,0,0,0,0,0,84.67,0,0,0,0,0,0,0,0,0,0,0,0,17.21678539,0,0,0,0,0,0,0,0,0,0,0,0,0,15.8,0,0
