Na,Li,K,Cs,Ca,Mg,Si,P,B,Al,Si6err,Si5err,Si4err,Si3err,Si2err,Si1err,Si0err,P3err,P2err,P1err,P0err,B4err,Al4err,Al6err
0.0,0.0,0.0,0.0,47.0,0.0,46.0,0.0,0.0,7.0,0.0,0.0,-0.041907337999999905,3.831036189999999,-0.1647944699999968,-3.4517164019999997,-0.17253605699999996,0.0,0.0,0.0,0.0,0.0,2.193333329999998,-2.1933333329522
0.0,0.0,0.0,0.0,27.0,0.0,55.0,0.0,0.0,18.0,0.0,0.0,1.7653625400000053,-0.6784036899999997,-1.037030259,-0.034898448,-8.03e-05,0.0,0.0,0.0,0.0,0.0,0.7036574400000006,-0.703657445
0.0,0.0,0.0,0.0,30.0,0.0,60.0,0.0,0.0,10.0,0.0,0.0,1.2324207600000001,1.021542029999999,-2.0698284790000008,-0.182930034,-0.0010596389999999998,0.0,0.0,0.0,0.0,0.0,1.110710140000002,-1.1107101350000002
0.0,0.0,0.0,0.0,13.0,0.0,76.0,0.0,0.0,11.0,0.0,0.0,-26.330657979999998,25.419050366999997,0.910777025,0.0008875900000000001,-2.5e-09,0.0,0.0,0.0,0.0,0.0,-6.45107166,6.451071662
0.0,0.0,0.0,0.0,16.0,0.0,77.0,0.0,0.0,7.0,0.0,0.0,-9.67408589,9.37512311,0.30342036699999997,-0.004440195000000001,-7.05e-06,0.0,0.0,0.0,0.0,0.0,-2.3609744,2.3609744010000004
0.0,0.0,0.0,0.0,44.75138122,0.0,0.0,55.24861878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8741176700000004,-3.7482353500000016,1.8741176730000002,5.33e-14,0.0,0.0,0.0
0.0,0.0,0.0,0.0,61.55324875,0.0,0.0,38.44675125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.21e-26,0.10000000000000142,-0.10000000000000142,6.24e-11,0.0,0.0,0.0
0.0,0.0,0.0,0.0,57.57318625,0.0,0.0,42.42681375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7699999999999999e-09,-0.29999999999999716,0.29999999999999716,1.7e-11,0.0,0.0,0.0
0.0,0.0,0.0,0.0,52.98542548,0.0,0.0,47.01457452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06094905900000001,-0.4218981199999945,0.36094906000000115,1.8700000000000003e-12,0.0,0.0,0.0
0.0,0.0,0.0,0.0,46.40943194,0.0,0.0,53.59056806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0577741599999992,-4.51554831,2.457774155,8.47e-14,0.0,0.0,0.0
