Na,Li,K,Ca,Si,P,B,Al,Si6SM,Si5SM,Si4SM,Si3SM,Si2SM,Si1SM,Si0SM,P3SM,P2SM,P1SM,P0SM,B4SM,Al4SM,Al6SM,Si6,Si5,Si4,Si3,Si2,Si1,Si0,P3,P2,P1,P0,B4,Al4,Al6
0,24.7,0,0,0,0,59.5,15.8,0,0,0,0,0,0,0,0,0,0,0,16.88548975,20.00168237,0.981053355,0,0,0,0,0,0,0,0,0,0,0,16.43286573,15.83166333,5.611222445
0,27.4,0,0,0,0,53.2,19.3,0,0,0,0,0,0,0,0,0,0,0,15.01639946,25.8305174,0.79017225,0,0,0,0,0,0,0,0,0,0,0,12.1242485,20.64128257,6.513026052
0,24.5,0,0,0,0,49.7,25.9,0,0,0,0,0,0,0,0,0,0,0,9.839884203,31.36875796,2.890501298,0,0,0,0,0,0,0,0,0,0,0,7.221664995,23.77131394,11.0330993
0,25,0,0,0,0,70,5,0,0,0,0,0,0,0,0,0,0,0,27.15546409,6.58025939,0.086407277,0,0,0,0,0,0,0,0,0,0,0,27.65543638,5.243139077,1.323774588
0,25,0,0,0,0,65,10,0,0,0,0,0,0,0,0,0,0,0,21.19768979,13.00624105,0.327092282,0,0,0,0,0,0,0,0,0,0,0,21.85490276,11.13855278,2.442115967
0,25,0,0,0,0,60,15,0,0,0,0,0,0,0,0,0,0,0,16.96950241,19.12047889,0.87952111,0,0,0,0,0,0,0,0,0,0,0,16.56533733,15.71152289,4.372651669
0,25,0,0,0,0,50,25,0,0,0,0,0,0,0,0,0,0,0,10.02202359,30.92089282,2.412440513,0,0,0,0,0,0,0,0,0,0,0,8.326278772,25.28591744,8.02568932
25.7,0,0,0,0,0,69.3,5,0,0,0,0,0,0,0,0,0,0,0,23.03883924,6.623806532,0.105668569,0,0,0,0,0,0,0,0,0,0,0,29.77915459,6.365544119,0.399720196
25.2,0,0,0,0,0,59.5,15.3,0,0,0,0,0,0,0,0,0,0,0,13.95030455,19.75046168,0.704083773,0,0,0,0,0,0,0,0,0,0,0,14.71471471,19.31931932,1.701701702
25.5,0,0,0,0,0,54.1,20.4,0,0,0,0,0,0,0,0,0,0,0,9.836323699,26.29441753,1.088132809,0,0,0,0,0,0,0,0,0,0,0,5.87234894,26.21048419,2.591036415
25.5,0,0,0,0,0,50.1,24.4,0,0,0,0,0,0,0,0,0,0,0,6.228721923,31.3710809,1.380596954,0,0,0,0,0,0,0,0,0,0,0,3.488372093,30.17241379,3.287890938
20.43,0,0,0,0,0,74.18,5.38,0,0,0,0,0,0,0,0,0,0,0,17.91360872,6.379711098,0.382480958,0,0,0,0,0,0,0,0,0,0,0,22.56354952,6.620186023,0.142006033
20.15,0,0,0,0,0,69.37,10.48,0,0,0,0,0,0,0,0,0,0,0,14.51522885,11.9177249,1.206883746,0,0,0,0,0,0,0,0,0,0,0,16.0719474,12.49462743,0.629981215
