Na,Li,K,Cs,Ca,Mg,Si,P,B,Al,Si6SM,Si5SM,Si4SM,Si3SM,Si2SM,Si1SM,Si0SM,P3SM,P2SM,P1SM,P0SM,B4SM,Al4SM,Al6SM
0,0,0,0,0,0,100,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0
0.5,0,0,0,0,0,99.5,0,0,0,0,0,99,1,0,0,0,0,0,0,0,0,0,0
0.99,0,0,0,0,0,99.01,0,0,0,0,0,98,2,0,0,0,0,0,0,0,0,0,0
1.48,0,0,0,0,0,98.52,0,0,0,0,0,97.01,2.99,0.01,0,0,0,0,0,0,0,0,0
1.96,0,0,0,0,0,98.04,0,0,0,0,0,96.01,3.97,0.01,0,0,0,0,0,0,0,0,0
2.44,0,0,0,0,0,97.56,0,0,0,0,0,95.02,4.95,0.02,0,0,0,0,0,0,0,0,0
2.91,0,0,0,0,0,97.09,0,0,0,0,0,94.03,5.93,0.03,0,0,0,0,0,0,0,0,0
3.38,0,0,0,0,0,96.62,0,0,0,0,0,93.05,6.91,0.05,0,0,0,0,0,0,0,0,0
3.85,0,0,0,0,0,96.15,0,0,0,0,0,92.06,7.87,0.06,0,0,0,0,0,0,0,0,0
4.31,0,0,0,0,0,95.69,0,0,0,0,0,91.08,8.84,0.08,0,0,0,0,0,0,0,0,0
4.76,0,0,0,0,0,95.24,0,0,0,0,0,90.1,9.8,0.1,0,0,0,0,0,0,0,0,0
5.21,0,0,0,0,0,94.79,0,0,0,0,0,89.12,10.76,0.12,0,0,0,0,0,0,0,0,0
5.66,0,0,0,0,0,94.34,0,0,0,0,0,88.14,11.72,0.14,0,0,0,0,0,0,0,0,0
6.1,0,0,0,0,0,93.9,0,0,0,0,0,87.17,12.67,0.17,0,0,0,0,0,0,0,0,0
6.54,0,0,0,0,0,93.46,0,0,0,0,0,86.19,13.62,0.19,0,0,0,0,0,0,0,0,0
6.98,0,0,0,0,0,93.02,0,0,0,0,0,85.22,14.56,0.22,0,0,0,0,0,0,0,0,0
7.41,0,0,0,0,0,92.59,0,0,0,0,0,84.25,15.5,0.25,0,0,0,0,0,0,0,0,0
7.83,0,0,0,0,0,92.17,0,0,0,0,0,83.28,16.44,0.28,0,0,0,0,0,0,0,0,0
8.26,0,0,0,0,0,91.74,0,0,0,0,0,82.31,17.38,0.31,0,0,0,0,0,0,0,0,0
8.68,0,0,0,0,0,91.32,0,0,0,0,0,81.35,18.31,0.34,0,0,0,0,0,0,0,0,0
9.09,0,0,0,0,0,90.91,0,0,0,0,0,80.38,19.24,0.38,0,0,0,0,0,0,0,0,0
9.5,0,0,0,0,0,90.5,0,0,0,0,0,79.42,20.16,0.42,0,0,0,0,0,0,0,0,0
9.91,0,0,0,0,0,90.09,0,0,0,0,0,78.46,21.09,0.45,0,0,0,0,0,0,0,0,0
10.31,0,0,0,0,0,89.69,0,0,0,0,0,77.5,22.01,0.49,0,0,0,0,0,0,0,0,0
10.71,0,0,0,0,0,89.29,0,0,0,0,0,76.54,22.92,0.53,0,0,0,0,0,0,0,0,0
11.11,0,0,0,0,0,88.89,0,0,0,0,0,75.58,23.84,0.58,0,0,0,0,0,0,0,0,0
11.5,0,0,0,0,0,88.5,0,0,0,0,0,74.63,24.75,0.62,0,0,0,0,0,0,0,0,0
11.89,0,0,0,0,0,88.11,0,0,0,0,0,73.67,25.66,0.67,0,0,0,0,0,0,0,0,0
12.28,0,0,0,0,0,87.72,0,0,0,0,0,72.72,26.56,0.71,0,0,0,0,0,0,0,0,0
12.66,0,0,0,0,0,87.34,0,0,0,0,0,71.77,27.46,0.76,0,0,0,0,0,0,0,0,0
13.04,0,0,0,0,0,86.96,0,0,0,0,0,70.82,28.36,0.81,0,0,0,0,0,0,0,0,0
13.42,0,0,0,0,0,86.58,0,0,0,0,0,69.87,29.26,0.86,0.01,0,0,0,0,0,0,0,0
13.79,0,0,0,0,0,86.21,0,0,0,0,0,68.93,30.15,0.92,0.01,0,0,0,0,0,0,0,0
14.16,0,0,0,0,0,85.84,0,0,0,0,0,67.98,31.04,0.97,0.01,0,0,0,0,0,0,0,0
14.53,0,0,0,0,0,85.47,0,0,0,0,0,67.04,31.92,1.03,0.01,0,0,0,0,0,0,0,0
14.89,0,0,0,0,0,85.11,0,0,0,0,0,66.1,32.81,1.09,0.01,0,0,0,0,0,0,0,0
