Na,Li,K,Cs,Ca,Mg,Si,P,B,Al,Si6SM,Si5SM,Si4SM,Si3SM,Si2SM,Si1SM,Si0SM,P3SM,P2SM,P1SM,P0SM,B4SM,Al4SM,Al6SM,Si6,Si5,Si4,Si3,Si2,Si1,Si0,P3,P2,P1,P0,B4,Al4,Al6
0,0,0,0,44,0,42,0,0,14,0,0,2.889333692,30.3835568,24.39839823,2.327357365,0.017451035,0,0,0,0,0,39.99999956,4.42E-07,0,0,1.771079917,23.87114866,29.23302515,5.036184043,0.088562228,0,0,0,0,0,36.96,3.04
0,0,0,0,19,0,63,0,0,18,0,0,39.80837145,23.01386114,0.821415517,0.000591569,0,0,0,0,0,0,30.71101825,5.652618114,0,0,57.37843544,6.152522363,0.10510359,0.000302153,9.06E-08,0,0,0,0,0,35.27272727,1.090909091
0,0,0,0,55.19713262,0,0,44.80286738,0,0,0,0,0,0,0,0,0,8.58E-05,76.99982831,23.00008584,6.16E-12,0,0,0,0,0,0,0,0,0,0,0,76.8,23.2,0,0,0,0
0,0,0,0,45.1754386,0,0,54.8245614,0,0,0,0,0,0,0,0,0,19.95908945,78.0818211,1.959089448,5.75E-14,0,0,0,0,0,0,0,0,0,0,17.6,82.4,0,0,0,0,0
0,0,0,0,40.53571429,0,0,59.46428571,0,0,0,0,0,0,0,0,0,33.06260543,65.87478915,1.062605426,2.07E-14,0,0,0,0,0,0,0,0,0,0,31.83183183,68.16816817,0,0,0,0,0
0,0,0,0,52.25,0,43.29,4.46,0,0,0,0,0.101980277,15.41397249,51.97328714,15.11520363,0.310706822,0,0.118684247,16.96616538,2.09E-08,0,0,0,0,0,0,57.46521883,19.54593316,2.172196523,3.731801846,0,0,4.617111866,12.46773778,0,0,0
0,0,0,0,49.87,0,41.12,9.01,0,0,0,0,1.737504672,29.92687152,33.53417578,4.288331189,0.043045825,0,1.972541994,28.49752901,1.70E-08,0,0,0,0,0,0,51.25276015,13.29248642,2.30062265,2.684059758,0,0,22.00967752,8.460393495,0,0,0
0,0,0,0,50,0,50,0,0,0,0,0,0.001437851,14.33579165,71.41771377,14.1514461,0.09361063,0,0,0,0,0,0,0,0,0,0,0,19,64.4,16.6,0,0,0,0,0,0,0
0,0,0,25.7,0,0,0,0,69.3,5,0,0,0,0,0,0,0,0,0,0,0,21.11680792,6.598626885,0.130848216,0,0,0,0,0,0,0,0,0,0,0,29.77915459,6.365544119,0.399720196
0,0,0,20.15,0,0,0,0,69.37,10.48,0,0,0,0,0,0,0,0,0,0,0,13.57241433,11.77649892,1.348109723,0,0,0,0,0,0,0,0,0,0,0,16.0719474,12.49462743,0.629981215
0,0,0,15.01,0,0,0,0,64.52,20.47,0,0,0,0,0,0,0,0,0,0,0,13.5360197,17.70112955,6.384056945,0,0,0,0,0,0,0,0,0,0,0,7.13599247,13.60813037,10.47705612
0,0,0,44.91,0,0,0,0,34.71,20.38,0,0,0,0,0,0,0,0,0,0,0,12.9282297,36.99391759,9.22E-05,0,0,0,0,0,0,0,0,0,0,0,7.749736794,36.32811763,0.665892176
0,0,0,30,0,0,0,0,65,5,0,0,0,0,0,0,0,0,0,0,0,24.22582527,7.095067426,0.047789717,0,0,0,0,0,0,0,0,0,0,0,28.67132867,6.893106893,0.2997003
0,0,0,45.05494505,0,0,0,0,54.94505495,0,0,0,0,0,0,0,0,0,0,0,0,22.17788641,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0
0,0,0,15,0,0,0,85,0,0,0,0,0,0,0,0,0,82.02320626,17.95358748,0.023206258,3.67E-11,0,0,0,0,0,0,0,0,0,0,80,20,0,0,0,0,0
0,0,0,40,0,0,0,60,0,0,0,0,0,0,0,0,0,33.55769109,65.88461783,0.557691078,5.64E-09,0,0,0,0,0,0,0,0,0,0,34,66,0,0,0,0,0
0,0,0,11.3,0,0,88.7,0,0,0,0,0,75.00187515,24.9962497,0.001875148,6.11E-10,4.63E-21,0,0,0,0,0,0,0,0,0,76,24,0,0,0,0,0,0,0,0,0,0
0,0,0,1.82,0,0,98.18,0,0,0,0,0,96.00003199,3.999936025,3.20E-05,7.89E-13,2.39E-25,0,0,0,0,0,0,0,0,0,95.66,4.34,0,0,0,0,0,0,0,0,0,0
0,0,0,26.9,0,0,73.1,0,0,0,0,0,26.03082193,73.93835619,0.030821826,5.31E-08,2.12E-18,0,0,0,0,0,0,0,0,0,25.04,74.96,0,0,0,0,0,0,0,0,0,0
0,0,32.84,0,0,0,0,0,67.16,0,0,0,0,0,0,0,0,0,0,0,0,33.52172392,0,0,0,0,0,0,0,0,0,0,0,0,0,39.99,0,0
0,0,36.4,0,0,0,63.6,0,0,0,0,0,0.093591515,85.87129414,13.97665974,0.05843205,2.26E-05,0,0,0,0,0,0,0,0,0,5,81,14,0,0,0,0,0,0,0,0,0
0,0,50,0,0,0,50,0,0,0,0,0,0,8.052247608,83.95388034,7.935496493,0.058375557,0,0,0,0,0,0,0,0,0,0,9,84,7,0,0,0,0,0,0,0,0
