Na,Li,K,Cs,Ca,Mg,Si,P,B,Al,Si6err,Si5err,Si4err,Si3err,Si2err,Si1err,Si0err,P3err,P2err,P1err,P0err,B4err,Al4err,Al6err
0.0,0.0,0.0,0.0,44.0,0.0,42.0,0.0,0.0,14.0,0.0,0.0,1.118253775,6.512408140000005,-4.834626919999998,-2.7088266780000003,-0.071111193,0.0,0.0,0.0,0.0,0.0,3.0399995599999983,-3.039999558
0.0,0.0,0.0,0.0,19.0,0.0,63.0,0.0,0.0,18.0,0.0,0.0,-17.570063989999994,16.861338777,0.716311927,0.000289416,-9.06e-08,0.0,0.0,0.0,0.0,0.0,-4.561709019999999,4.561709023000001
0.0,0.0,0.0,0.0,55.19713262,0.0,0.0,44.80286738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.58e-05,0.1998283100000009,-0.19991415999999873,6.1600000000000004e-12,0.0,0.0,0.0
0.0,0.0,0.0,0.0,45.1754386,0.0,0.0,54.82456139999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.359089449999999,-4.318178900000021,1.959089448,5.75e-14,0.0,0.0,0.0
0.0,0.0,0.0,0.0,40.53571429,0.0,0.0,59.46428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2307735999999991,-2.2933790200000033,1.062605426,2.07e-14,0.0,0.0,0.0
0.0,0.0,0.0,0.0,52.25,0.0,43.29,4.46,0.0,0.0,0.0,0.0,0.101980277,-42.05124634,32.42735397999999,12.943007107,-3.4210950240000004,0.0,0.11868424699999999,12.349053514,-12.4677377591,0.0,0.0,0.0
0.0,0.0,0.0,0.0,49.87,0.0,41.12,9.01,0.0,0.0,0.0,0.0,1.7375046719999998,-21.32588863,20.24168936,1.9877085389999998,-2.641013933,0.0,1.972541994,6.487851490000001,-8.460393478,0.0,0.0,0.0
0.0,0.0,0.0,0.0,50.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.001437851,14.33579165,52.417713770000006,-50.248553900000005,-16.50638937,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,25.7,0.0,0.0,0.0,0.0,69.3,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.662346670000002,0.23308276599999989,-0.26887198
0.0,0.0,0.0,20.15,0.0,0.0,0.0,0.0,69.37,10.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.499533070000002,-0.7181285099999997,0.718128508
0.0,0.0,0.0,15.01,0.0,0.0,0.0,0.0,64.52,20.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.400027229999999,4.092999180000001,-4.092999175
0.0,0.0,0.0,44.91,0.0,0.0,0.0,0.0,34.71,20.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.178492906,0.6657999600000011,-0.6657999760000001
0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,65.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.4455034,0.20196053300000028,-0.25191058299999997
