Na,Li,K,Ca,Si,P,B,Al,Si4,Si3,Si2,Si1,Si0,P3,P2,P1,P0,B4,Al4,Al6
25.7,0,0,0,0,0,69.3,5,0,0,0,0,0,0,0,0,0,29.77915459,6.365544119,0.399720196
25.2,0,0,0,0,0,59.5,15.3,0,0,0,0,0,0,0,0,0,14.71471471,19.31931932,1.701701702
25.5,0,0,0,0,0,54.1,20.4,0,0,0,0,0,0,0,0,0,5.87234894,26.21048419,2.591036415
25.5,0,0,0,0,0,50.1,24.4,0,0,0,0,0,0,0,0,0,3.488372093,30.17241379,3.287890938
25,0,0,0,0,0,44.8,30.2,0,0,0,0,0,0,0,0,0,0.901171523,35.1456894,5.777510764
20.43,0,0,0,0,0,74.18,5.38,0,0,0,0,0,0,0,0,0,22.56354952,6.620186023,0.142006033
20.15,0,0,0,0,0,69.37,10.48,0,0,0,0,0,0,0,0,0,16.0719474,12.49462743,0.629981215
20,0,0,0,0,0,64.66,15.34,0,0,0,0,0,0,0,0,0,10.9922,17.276675,1.898325
19.63,0,0,0,0,0,59.69,20.68,0,0,0,0,0,0,0,0,0,7.426900585,20.91929825,4.811695906
19.76,0,0,0,0,0,54.55,25.69,0,0,0,0,0,0,0,0,0,5.438683948,23.53209123,8.484359422
15.01,0,0,0,0,0,64.52,20.47,0,0,0,0,0,0,0,0,0,7.13599247,13.60813037,10.47705612
25.36,0,0,0,0,0,54.04,20.6,0,0,0,0,0,0,0,0,0,9.484512326,26.63317256,0.965969989
30.11,0,0,0,0,0,49.7,20.19,0,0,0,0,0,0,0,0,0,13.79567892,28.31048791,0.577765059
34.95,0,0,0,0,0,44.82,20.23,0,0,0,0,0,0,0,0,0,15.70939277,30.53936972,0.559784781
39.68,0,0,0,0,0,39.89,20.43,0,0,0,0,0,0,0,0,0,12.30029841,33.22584549,0.643517905
44.91,0,0,0,0,0,34.71,20.38,0,0,0,0,0,0,0,0,0,7.749736794,36.32811763,0.665892176
30,0,0,0,0,0,40,30,0,0,0,0,0,0,0,0,0,1.598401598,41.75824176,1.098901099
40,0,0,0,0,0,30,30,0,0,0,0,0,0,0,0,0,0.900900901,49.44944945,0.600600601
40,0,0,0,0,0,40,20,0,0,0,0,0,0,0,0,0,9.833738848,32.33982157,0.141930251
20,0,0,0,0,0,50,30,0,0,0,0,0,0,0,0,0,2.302302302,27.72772773,9.70970971
35,0,0,0,0,0,55,10,0,0,0,0,0,0,0,0,0,23.3,14.9,0.5
30,0,0,0,0,0,65,5,0,0,0,0,0,0,0,0,0,28.67132867,6.893106893,0.2997003
0,23.9,0,0,0,0,70.9,5.3,0,0,0,0,0,0,0,0,0,27.91164659,6.124497992,0.803212851
0,27.4,0,0,0,0,53.2,19.3,0,0,0,0,0,0,0,0,0,12.1242485,20.64128257,6.513026052
0,25,0,0,0,0,70,5,0,0,0,0,0,0,0,0,0,27.65543638,5.243139077,1.323774588
0,25,0,0,0,0,65,10,0,0,0,0,0,0,0,0,0,21.85490276,11.13855278,2.442115967
0,25,0,0,0,0,60,15,0,0,0,0,0,0,0,0,0,16.56533733,15.71152289,4.372651669
0,25,0,0,0,0,55,20,0,0,0,0,0,0,0,0,0,12.24954672,20.4202053,5.959480033
0,25,0,0,0,0,50,25,0,0,0,0,0,0,0,0,0,8.326278772,25.28591744,8.02568932
