Na,Li,K,Si,P,B,Al,Si4,Si3,Si2,Si1,Si0,P3,P2,P1,P0,B4,Al4,Al6
25,0,0,75,0,0,0,38,61,1,0,0,0,0,0,0,0,0,0
42.9,0,0,57.1,0,0,0,2,54,41,3,0,0,0,0,0,0,0,0
9.94,0,0,0,0,90.06,0,0,0,0,0,0,0,0,0,0,11.71,0,0
31.52,0,0,0,0,68.48,0,0,0,0,0,0,0,0,0,0,41.38,0,0
51.1,0,0,0,48.9,0,0,0,0,0,0,0,0,99,1,0,0,0,0
15,0,0,0,85,0,0,0,0,0,0,0,81,19,0,0,0,0,0
40,0,0,0,60,0,0,0,0,0,0,0,38,62,0,0,0,0,0
0,37,0,0,63,0,0,0,0,0,0,0,40,60,0,0,0,0,0
0,35,0,0,65,0,0,0,0,0,0,0,51,49,0,0,0,0,0
0,0,33.3,66.7,0,0,0,7,86,7,0,0,0,0,0,0,0,0,0
0,0,28.15256539,71.84743461,0,0,0,18.54,76.68,4.78,0,0,0,0,0,0,0,0,0
0,24.7,0,0,0,59.5,15.8,0,0,0,0,0,0,0,0,0,16.43286573,15.83166333,5.611222445
25,0,0,0,0,44.8,30.2,0,0,0,0,0,0,0,0,0,0.901171523,35.1456894,5.777510764
15.01,0,0,0,0,64.52,20.47,0,0,0,0,0,0,0,0,0,7.13599247,13.60813037,10.47705612
30,0,0,0,0,40,30,0,0,0,0,0,0,0,0,0,1.598401598,41.75824176,1.098901099
30,0,0,0,0,65,5,0,0,0,0,0,0,0,0,0,28.67132867,6.893106893,0.2997003
0,25,0,0,0,65,10,0,0,0,0,0,0,0,0,0,21.85490276,11.13855278,2.442115967
0,25,0,0,0,55,20,0,0,0,0,0,0,0,0,0,12.24954672,20.4202053,5.959480033
33.16498208,0,0,66.83501792,0,0,0,9.54,80.98,9.48,0,0,0,0,0,0,0,0,0
