Na,Li,K,Cs,Ca,Mg,Si,P,B,Al,Si6SM,Si5SM,Si4SM,Si3SM,Si2SM,Si1SM,Si0SM,P3SM,P2SM,P1SM,P0SM,B4SM,Al4SM,Al6SM,Si6,Si5,Si4,Si3,Si2,Si1,Si0,P3,P2,P1,P0,B4,Al4,Al6
0,0,0,0,44,0,42,0,0,14,0,0,2.889333692,30.3835568,24.39839823,2.327357365,0.017451035,0,0,0,0,0,39.99999956,4.42E-07,0,0,1.771079917,23.87114866,29.23302515,5.036184043,0.088562228,0,0,0,0,0,36.96,3.04
0,0,0,0,47,0,46,0,0,7,0,0,0.677089555,25.38334938,43.01078933,7.497522198,0.097998128,0,0,0,0,0,23.33333333,4.78E-11,0,0,0.718996893,21.55231319,43.1755838,10.9492386,0.270534185,0,0,0,0,0,21.14,2.193333333
0,0,0,0,27,0,55,0,0,18,0,0,37.89223522,21.39306801,1.164763332,0.004443713,0,0,0,0,0,0,38.5629981,0.997441456,0,0,36.12687268,22.0714717,2.201793591,0.039342161,8.03E-05,0,0,0,0,0,37.85934066,1.701098901
0,0,0,0,30,0,60,0,0,10,0,0,29.88559968,39.24788187,5.769089823,0.097498165,7.51E-05,0,0,0,0,0,24.88571014,0.114289865,0,0,28.65317892,38.22633984,7.838918302,0.280428199,0.001134739,0,0,0,0,0,23.775,1.225
0,0,0,0,19,0,63,0,0,18,0,0,39.80837145,23.01386114,0.821415517,0.000591569,0,0,0,0,0,0,30.71101825,5.652618114,0,0,57.37843544,6.152522363,0.10510359,0.000302153,9.06E-08,0,0,0,0,0,35.27272727,1.090909091
0,0,0,0,13,0,76,0,0,11,0,0,47.37112001,29.24001396,0.939026074,0.00091739,0,0,0,0,0,0,15.99790793,6.451071662,0,0,73.70177799,3.820963593,0.028249049,2.98E-05,2.50E-09,0,0,0,0,0,22.44897959,0
0,0,0,0,16,0,77,0,0,7,0,0,55.52342541,27.91058228,1.178436705,0.002950556,0,0,0,0,0,0,12.93133329,2.453282093,0,0,65.1975113,18.53545917,0.875016338,0.007390751,7.05E-06,0,0,0,0,0,15.29230769,0.092307692
0,0,0,0,44.75138122,0,0,55.24861878,0,0,0,0,0,0,0,0,0,20.87411767,77.25176465,1.874117673,5.33E-14,0,0,0,0,0,0,0,0,0,0,19,81,0,0,0,0,0
0,0,0,0,61.55324875,0,0,38.44675125,0,0,0,0,0,0,0,0,0,1.21E-26,40,60,6.24E-11,0,0,0,0,0,0,0,0,0,0,0,39.9,60.1,0,0,0,0
0,0,0,0,57.57318625,0,0,42.42681375,0,0,0,0,0,0,0,0,0,1.77E-09,64,36,1.70E-11,0,0,0,0,0,0,0,0,0,0,0,64.3,35.7,0,0,0,0
0,0,0,0,55.19713262,0,0,44.80286738,0,0,0,0,0,0,0,0,0,8.58E-05,76.99982831,23.00008584,6.16E-12,0,0,0,0,0,0,0,0,0,0,0,76.8,23.2,0,0,0,0
0,0,0,0,52.98542548,0,0,47.01457452,0,0,0,0,0,0,0,0,0,0.060949059,86.87810188,13.06094906,1.87E-12,0,0,0,0,0,0,0,0,0,0,0,87.3,12.7,0,0,0,0
